Date,RowCount
2021-06-21,1473233
2021-06-22,1476387
2021-06-23,1463848
2021-06-24,1515127
2021-06-25,1581496
2021-06-26,1582392
2021-06-27,1559497
2021-06-28,1578113
2021-06-29,1576140
2021-06-30,1561247
2021-07-01,1574210
2021-07-02,1572721
2021-07-03,1573424
2021-07-04,1564851
2021-07-05,1581344
2021-07-06,1581121
2021-07-07,1605363
2021-07-08,1614372
2021-07-09,1571484
2021-07-10,1572045
2021-07-11,1566125
2021-07-12,1636057
2021-07-13,1635668
2021-07-14,1655676
2021-07-15,1664677
2021-07-16,1678262
2021-07-17,1678394
2021-07-18,1666142
2021-07-19,1686425
2021-07-20,1703112
2021-07-21,1724308
2021-07-22,1738267
2021-07-23,1742962
2021-07-24,1742259
2021-07-25,1740926
2021-07-26,1754268
2021-07-27,1755155
2021-07-28,1740795
2021-07-29,1745436
2021-07-30,1751494
2021-07-31,1752289
2021-08-01,1752292
2021-08-02,1772917
2021-08-03,1774102
2021-08-04,1760910
2021-08-05,1766075
2021-08-06,1705001
2021-08-07,1705502
2021-08-08,1705175
2021-08-09,1719288
2021-08-10,1726243
2021-08-11,1796846
2021-08-12,1813419
2021-08-13,1808727
2021-08-14,1808714
2021-08-15,1808814
2021-08-16,1821002
2021-08-17,1821846
2021-08-18,1852630
2021-08-19,1856985
2021-08-20,1859560
2021-08-21,1859640
2021-08-22,1860704
2021-08-23,1930732
2021-08-24,1927702
2021-08-25,1922670
2021-08-26,1925689
2021-08-27,1926944
2021-08-28,1927402
2021-08-29,1927130
2021-08-30,1934933
2021-08-31,1935504
2021-09-01,1928979
2021-09-02,1931896
2021-09-03,1879418
2021-09-04,1880081
2021-09-05,1852996
2021-09-06,1858368
2021-09-07,1859668
2021-09-08,1902659
2021-09-09,1911811
2021-09-10,1915401
2021-09-11,1916116
2021-09-12,1860125
2021-09-13,1872996
2021-09-14,1874120
2021-09-15,1867574
2021-09-16,1871608
2021-09-17,1873544
2021-09-18,1873879
2021-09-19,1874518
